scaled_distance,overpressure,reference
0.877329155,975.2954231,"(Swisdak, 1975)"
1.025539895,784.4466354,"(Swisdak, 1975)"
1.330847981,494.3847765,"(Swisdak, 1975)"
1.492725989,392.4331604,"(Swisdak, 1975)"
1.709775371,292.1258677,"(Swisdak, 1975)"
1.897467079,247.2864982,"(Swisdak, 1975)"
2.106371772,196.2761472,"(Swisdak, 1975)"
2.437725814,146.1185422,"(Swisdak, 1975)"
2.911442537,98.15272764,"(Swisdak, 1975)"
3.231795579,78.91546989,"(Swisdak, 1975)"
3.625734453,59.4965989,"(Swisdak, 1975)"
3.860938045,49.70452407,"(Swisdak, 1975)"
4.286014235,39.45145633,"(Swisdak, 1975)"
4.960248556,29.36979032,"(Swisdak, 1975)"
5.392398929,24.53983303,"(Swisdak, 1975)"
5.924502985,19.47624523,"(Swisdak, 1975)"
6.785953592,14.49804862,"(Swisdak, 1975)"
8.187944419,9.993678885,"(Swisdak, 1975)"
9.184418118,7.831290704,"(Swisdak, 1975)"
10.73908371,5.906052386,"(Swisdak, 1975)"
11.91935223,4.872393737,"(Swisdak, 1975)"
13.64774554,3.918344504,"(Swisdak, 1975)"
16.46073033,2.955745471,"(Swisdak, 1975)"
18.65160724,2.438816318,"(Swisdak, 1975)"
22.25680791,1.987311485,"(Swisdak, 1975)"
27.40677366,1.480146431,"(Swisdak, 1975)"
38.22471827,0.99541472,"(Swisdak, 1975)"
45.14661135,0.800690667,"(Swisdak, 1975)"
57.94069017,0.596537105,"(Swisdak, 1975)"
66.33100483,0.498626854,"(Swisdak, 1975)"
0.136601168,6899.501387,"(Defense Atomic Support Agency, 1973)"
0.177032343,5847.233401,"(Defense Atomic Support Agency, 1973)"
0.257158609,4590.876483,"(Defense Atomic Support Agency, 1973)"
0.381555135,3210.508913,"(Defense Atomic Support Agency, 1973)"
0.51045167,2301.985427,"(Defense Atomic Support Agency, 1973)"
0.758119816,1293.319203,"(Defense Atomic Support Agency, 1973)"
1.276037917,576.8235456,"(Defense Atomic Support Agency, 1973)"
1.781257517,319.7809204,"(Defense Atomic Support Agency, 1973)"
2.539788932,157.9047556,"(Defense Atomic Support Agency, 1973)"
3.819672678,54.38899172,"(Defense Atomic Support Agency, 1973)"
5.066537073,26.15977107,"(Defense Atomic Support Agency, 1973)"
7.613565928,10.79063224,"(Defense Atomic Support Agency, 1973)"
12.5627218,4.018093264,"(Defense Atomic Support Agency, 1973)"
17.89172954,2.566940203,"(Defense Atomic Support Agency, 1973)"
25.47831326,1.682661657,"(Defense Atomic Support Agency, 1973)"
51.14070799,0.704595873,"(Defense Atomic Support Agency, 1973)"
