scaled-distance_english,scaled_at_english,scaled-distance_metric,scaled_at_metric
1.14,0.09,0.452235536,0.117135188
1.28,0.12,0.507773233,0.156180251
1.57,0.16,0.622815606,0.208240335
2.34,0.31,0.928272942,0.403465649
3.11,0.52,1.233730277,0.676781089
4.2,0.9,1.666130921,1.171351885
5.77,1.65,2.288946527,2.147478455
8.28,3.21,3.284658101,4.177821722
11.71,5.76,4.645331686,7.496652062
17.56,10.45,6.96601404,13.60069688
35.13,25.63,13.93599506,33.35749867
58.55,46.64,23.22665843,60.70205767
199.9,169.1,79.29989787,220.0840041
