scaled-distance_english,scaled_at_english,scaled-distance_metric,scaled_at_metric
0.49,0.03,0.194381941,0.039045063
0.79,0.05,0.313391292,0.065075105
1.03,0.09,0.408598773,0.117135188
1.71,0.19,0.678353303,0.247285398
2.44,0.34,0.967942725,0.442510712
2.97,0.5,1.17819258,0.650751047
3.46,0.65,1.37257452,0.845976361
4.53,1.1,1.797041207,1.431652304
4.97,1.29,1.971588256,1.678937701
5.55,1.61,2.201673003,2.095418372
6.72,2.23,2.665809473,2.90234967
7.8,2.94,3.094243139,3.826416157
9.35,4,3.709124788,5.206008377
