scaled-distance_english,scaled_ii_english,scaled-distance_metric,scaled_ii_metric
4.36,18.97,1.729602575,170.2281407
4.99,14.72,1.979522213,132.0905762
5.02,13.32,1.991423148,119.5276138
5.57,12.01,2.209606959,107.7722704
5.57,15.3,2.209606959,137.2952321
5.84,12.25,2.316715376,109.9259211
6.11,12.31,2.423823792,110.4643338
6.84,11.93,2.713413214,107.0543868
6.89,12.53,2.733248106,112.4385136
7.39,10.27,2.931597025,92.15830282
7.39,10.47,2.931597025,93.95301174
7.76,9.58,3.078375225,85.96655706
8.76,8.7,3.475073063,78.06983783
9.51,8.82,3.772596442,79.14666318
14.07,5.84,5.581538585,52.40550034
17.02,4.96,6.751797208,44.50878111
46.73,1.83,18.53768998,16.42158658
46.73,1.73,18.53768998,15.52423212
116.8,0.71,46.33430751,6.371216651
166.9,0.46,66.20886921,4.127830506
166.9,0.51,66.20886921,4.576507735
250.4,0.29,99.33313871,2.602327928
