x,y,Reference
0.136532325,285.7685049,kb_curve
0.173323078,189.0084188,kb_curve
0.207692048,130.2870518,kb_curve
0.24082297,95.95037549,kb_curve
0.270207216,76.12162995,kb_curve
0.308204302,58.42608985,kb_curve
0.36331656,43.02810742,kb_curve
0.417853503,33.57625975,kb_curve
0.496691752,25.77098744,kb_curve
0.615286563,19.94437663,kb_curve
0.781397614,16.49055182,kb_curve
0.898998437,15.56325877,kb_curve
1.07793526,15.18198457,kb_curve
1.250627897,15.56325877,kb_curve
1.5122938,17.04503297,kb_curve
1.784118587,19.45577226,kb_curve
2.019625344,21.66342448,kb_curve
2.139705401,21.48505379,kb_curve
2.304516771,20.61498978,kb_curve
2.717570424,18.51418028,kb_curve
3.151962983,15.95410814,kb_curve
3.508265374,14.32827459,kb_curve
4.566686157,11.27365219,kb_curve
5.474180081,9.476777457,kb_curve
6.245728431,8.511028537,kb_curve
7.73793467,7.037149353,kb_curve
8.684016035,6.320015347,kb_curve
12.47869916,4.540373309,kb_curve
15.5879524,3.7231936,kb_curve
17.49407821,3.371534811,kb_curve
20.45828195,2.881409787,kb_curve
23.72915813,2.524378069,kb_curve
27.52216737,2.175316438,kb_curve
31.6600483,1.905775824,kb_curve
35.5309755,1.711564136,kb_curve
42.94339788,1.415167673,kb_curve
47.40563179,1.281503888,kb_curve
55.43806133,1.095209764,kb_curve
68.11558054,0.883364691,kb_curve
77.71370411,0.780333177,kb_curve
85.78763763,0.700811849,kb_curve
98.68264478,0.603906188,kb_curve
