scaled-distance_english,scaled_ii_english,scaled-distance_metric,scaled_ii_metric
4.75,14.47,1.884314732,129.8471901
4.75,16.17,1.884314732,145.1022158
7.46,10.21,2.959365874,91.61989015
7.46,11.58,2.959365874,103.9136462
9.49,9.23,3.764662485,82.82581646
20.34,4.95,8.068834031,44.41904566
35.62,2.55,14.130377,22.88253868
42.49,2.16,16.85569115,19.38285629
42.49,2.17,16.85569115,19.47259174
42.49,2.2,16.85569115,19.74179807
81.36,1.07,32.27533612,9.601692699
81.36,1.12,32.27533612,10.05036993
81.36,1.18,32.27533612,10.5887826
316.4,0.34,125.515196,3.051005157
