scaled-distance_english,scaled_ppd_english,scaled-distance_metric,scaled_ppd_metric
0.49,0.19,0.194381941,0.247285398
0.79,0.18,0.313391292,0.234270377
1.71,0.29,0.678353303,0.377435607
2.97,1.33,1.17819258,1.730997785
2.97,1.56,1.17819258,2.030343267
3.46,1.31,1.37257452,1.704967743
4.14,1.23,1.642329051,1.600847576
3.46,1.36,1.37257452,1.770042848
4.53,1.36,1.797041207,1.770042848
5.55,1.27,2.201673003,1.65290766
5.55,1.56,2.201673003,2.030343267
6.13,1.26,2.431757749,1.639892639
6.72,2.01,2.665809473,2.616019209
7.8,1.76,3.094243139,2.290643686
7.8,2.11,3.094243139,2.746169419
7.8,2.31,3.094243139,3.006469837
9.35,2.23,3.709124788,2.90234967
9.35,2.31,3.709124788,3.006469837
14.1,2.76,5.59343952,3.59214578
99,5.22,39.27308599,6.793840931
