scaled_distance,y,y0,y-y0,y-y0/y0
81.36,5.191,5.2004,-0.009,-0.001808
99,5.22,5.438,-0.218,-0.040088
116.8,5.811,5.702,0.109,0.019116
116.8,5.742,5.702,0.04,0.007015
153.7,5.643,6.087,-0.444,-0.072942
153.7,6.319,6.087,0.232,0.038114
166.9,5.707,6.219,-0.512,-0.082328
166.9,5.829,6.219,-0.39,-0.062711
199.9,6.022,6.4793,-0.457,-0.070579
199.9,6.756,6.4793,0.277,0.042705
250.4,6.09,6.7924,-0.702,-0.10341
316.4,8.15,7.1686,0.981,0.136903
316.4,6.319,7.1686,-0.85,-0.118517
428.4,7.605,7.6437,-0.039,-0.005063
428.4,8.343,7.6437,0.699,0.091487
428.4,8.434,7.6437,0.79,0.103392
428.4,8.055,7.6437,0.411,0.053809
428.4,8.343,7.6437,0.699,0.091487
