x,y
2.011,0.752
2.262,0.961
2.509,0.939
3.006,0.891
3.506,0.929
4.006,0.990
4.501,1.086
5.002,1.185
5.994,1.382
6.988,1.576
8.987,1.867
9.995,2.015
11.992,2.154
13.942,2.364
16.014,2.466
18.057,2.557
20.019,2.665
25.006,2.810
