x,y
1.325,0.113
1.483,0.164
1.714,0.260
1.881,0.336
2.090,0.434
2.401,0.572
2.901,0.837
3.187,0.996
3.636,1.265
3.891,1.380
4.304,1.568
4.939,1.558
5.348,1.523
5.877,1.474
6.711,1.488
8.083,1.700
9.152,1.849
10.692,2.084
11.940,2.248
13.667,2.443
16.522,2.753
18.803,2.952
22.063,3.264
27.412,3.729
37.608,4.258
45.140,4.551
56.887,4.959
